Loại cây trồng,Điều kiện thời tiết,Hành động khuyến nghị,Mô tả chi tiết
Ngô,Gió mạnh,Dừng bón phân đạm,Giúp cây tránh đạo ôn
Dưa leo,Có áp thấp nhiệt đới,Tỉa thưa cây con,Giúp cây tránh thiếu nước
Ngô,Mưa lớn,Phun chế phẩm sinh học,Giảm nguy cơ thối rễ
Xoài,Nhiệt độ dao động mạnh trong ngày,Che chắn bằng lưới,Giúp cây tránh thối rễ
Sắn,Nắng gắt,Phun chế phẩm sinh học,Giảm nguy cơ sốc nhiệt
Thanh long,Nhiều ngày nắng,Dừng bón phân đạm,Giảm nguy cơ thối rễ
Cà tím,Sương mù dày,Tưới nhỏ giọt,Bảo vệ cây khỏi ngập úng
Dưa leo,Mưa rào nhẹ,Trì hoãn gieo trồng,Giúp cây tránh vàng lá
Cà chua,Nắng gắt,Che phủ rơm/gỗ mục,Giúp cây tránh nấm bệnh
Lúa,Trời âm u,Bón vôi cải tạo đất,Giảm nguy cơ héo rũ
Bắp cải,Nhiệt độ thấp < 15°C,Trì hoãn gieo trồng,Bảo vệ cây khỏi sốc nhiệt
Thanh long,Nhiệt độ dao động mạnh trong ngày,Dừng bón phân đạm,Bảo vệ cây khỏi vàng lá
Ngô,Mưa rào nhẹ,Đào mương xung quanh ruộng,Bảo vệ cây khỏi nấm bệnh
Dưa hấu,Nắng nhẹ sau mưa,Tưới nhỏ giọt,Hạn chế ảnh hưởng của suy kiệt
Ngô,Sương mù dày,Tỉa thưa cây con,Bảo vệ cây khỏi nảy mầm kém
Dưa leo,Mưa lớn,Tăng cường thoát nước,Tăng khả năng chống chịu với suy kiệt
Dưa hấu,Nhiệt độ thấp < 15°C,Tăng cường thoát nước,Giúp cây tránh cháy lá
Cà tím,Mưa lớn,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của nấm bệnh
Ớt,Mưa rào nhẹ,Che chắn bằng lưới,Giúp cây tránh bạc lá
Dưa leo,Trời lạnh buổi sáng,Che chắn bằng lưới,Hạn chế ảnh hưởng của sâu xanh
Mía,Độ ẩm thấp,Tỉa thưa cây con,Tăng khả năng chống chịu với rụng hoa
Lúa,Trời lạnh buổi sáng,Che chắn bằng lưới,Tăng khả năng chống chịu với nấm bệnh
Lúa,Trời lạnh buổi sáng,Dừng bón phân đạm,Giảm nguy cơ suy kiệt
Cải bẹ,Mưa rào nhẹ,Tưới nhỏ giọt,Hạn chế ảnh hưởng của cháy lá
Dưa leo,Nắng gắt,Che chắn bằng lưới,Bảo vệ cây khỏi nấm bệnh
Chuối,Trời lạnh buổi sáng,Tỉa thưa cây con,Giúp cây tránh cháy lá
Chuối,Sương mù dày,Đào mương xung quanh ruộng,Giúp cây tránh vàng lá
Ớt,Sương mù dày,Tăng cường thoát nước,Bảo vệ cây khỏi héo rũ
Sắn,Mưa rào nhẹ,Tưới nước định kỳ,Bảo vệ cây khỏi suy kiệt
Chuối,Mưa rào nhẹ,Đào mương xung quanh ruộng,Giúp cây tránh rụng hoa
Cà chua,Gió mạnh,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của héo rũ
Dưa leo,Nhiệt độ thấp < 15°C,Tăng cường thoát nước,Hạn chế ảnh hưởng của thiếu nước
Xoài,Nhiều ngày nắng,Tưới nước định kỳ,Giảm nguy cơ ngập úng
Ngô,Nhiệt độ cao > 35°C,Bắt sâu thủ công,Giảm nguy cơ cháy lá
Bắp cải,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Tăng khả năng chống chịu với cháy lá
Cải bẹ,Gió mạnh,Tỉa thưa cây con,Giúp cây tránh suy kiệt
Dưa hấu,Có áp thấp nhiệt đới,Bón phân hữu cơ,Hạn chế ảnh hưởng của đạo ôn
Lúa,Độ ẩm không khí cao,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với thối rễ
Dưa leo,Gió mạnh,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ héo rũ
Dưa leo,Trời âm u,Che chắn bằng lưới,Hạn chế ảnh hưởng của bạc lá
Dưa leo,Nhiệt độ cao > 35°C,Trì hoãn gieo trồng,Tăng khả năng chống chịu với suy kiệt
Đậu phụng,Gió mạnh,Che chắn bằng lưới,Tăng khả năng chống chịu với rụng hoa
Cà tím,Sương mù dày,Dừng bón phân đạm,Giảm nguy cơ đạo ôn
Xoài,Nhiệt độ dao động mạnh trong ngày,Tăng cường thoát nước,Giúp cây tránh rụng hoa
Bắp cải,Nắng nhẹ sau mưa,Trì hoãn gieo trồng,Giúp cây tránh sâu xanh
Bắp cải,Độ ẩm thấp,Bắt sâu thủ công,Bảo vệ cây khỏi rụng hoa
Cà tím,Nhiệt độ cao > 35°C,Tưới nhỏ giọt,Bảo vệ cây khỏi ngập úng
Ngô,Mưa lớn,Bón vôi cải tạo đất,Giúp cây tránh thối rễ
Cà tím,Nắng nhẹ sau mưa,Bón phân hữu cơ,Giảm nguy cơ ngập úng
Đậu phụng,Nhiệt độ thấp < 15°C,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh héo rũ
Ớt,Trời nhiều mây,Dừng bón phân đạm,Giúp cây tránh suy kiệt
Cà tím,Nhiệt độ dao động mạnh trong ngày,Đào mương xung quanh ruộng,Giúp cây tránh rụng hoa
Dưa leo,Nhiệt độ dao động mạnh trong ngày,Bón vôi cải tạo đất,Tăng khả năng chống chịu với vàng lá
Dưa leo,Có áp thấp nhiệt đới,Che chắn bằng lưới,Bảo vệ cây khỏi sốc nhiệt
Đậu phụng,Mưa lớn,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với nảy mầm kém
Chuối,Mưa rào nhẹ,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi suy kiệt
Lúa,Trời âm u,Che chắn bằng lưới,Hạn chế ảnh hưởng của thối rễ
Mía,Nhiệt độ thấp < 15°C,Dừng bón phân đạm,Tăng khả năng chống chịu với nảy mầm kém
Dưa hấu,Độ ẩm không khí cao,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của nấm bệnh
Cà tím,Mưa rào nhẹ,Tỉa thưa cây con,Giúp cây tránh nấm bệnh
Chuối,Độ ẩm không khí cao,Dừng bón phân đạm,Hạn chế ảnh hưởng của vàng lá
Cà tím,Độ ẩm thấp,Tưới nhỏ giọt,Giúp cây tránh cháy lá
Rau màu,Nhiệt độ cao > 35°C,Bón phân hữu cơ,Hạn chế ảnh hưởng của vàng lá
Cà tím,Nhiều ngày nắng,Trì hoãn gieo trồng,Giúp cây tránh sốc nhiệt
Rau màu,Có áp thấp nhiệt đới,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với suy kiệt
Rau màu,Nhiệt độ cao > 35°C,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với cháy lá
Cải bẹ,Độ ẩm không khí cao,Tưới nhỏ giọt,Giúp cây tránh suy kiệt
Ớt,Mưa lớn,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi bạc lá
Mía,Gió mạnh,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với cháy lá
Rau màu,Độ ẩm không khí cao,Tưới nhỏ giọt,Giúp cây tránh héo rũ
Dưa hấu,Trời nhiều mây,Che chắn bằng lưới,Giúp cây tránh sâu xanh
Dưa leo,Trời lạnh buổi sáng,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi ngập úng
Mía,Có áp thấp nhiệt đới,Tưới nước định kỳ,Hạn chế ảnh hưởng của bạc lá
Mía,Mưa lớn,Đào mương xung quanh ruộng,Giúp cây tránh rụng hoa
Chuối,Nhiệt độ cao > 35°C,Phun chế phẩm sinh học,Tăng khả năng chống chịu với rụng hoa
Xoài,Sương mù dày,Bón phân hữu cơ,Giảm nguy cơ nảy mầm kém
Lúa,Sương mù dày,Trì hoãn gieo trồng,Giảm nguy cơ thiếu nước
Rau màu,Nắng gắt,Tưới nhỏ giọt,Hạn chế ảnh hưởng của đạo ôn
Dưa leo,Mưa lớn,Bón phân hữu cơ,Giảm nguy cơ cháy lá
Bắp cải,Nắng nhẹ sau mưa,Đào mương xung quanh ruộng,Giảm nguy cơ ngập úng
Đậu phụng,Độ ẩm thấp,Tỉa thưa cây con,Bảo vệ cây khỏi thối rễ
Cải bẹ,Có áp thấp nhiệt đới,Tưới nhỏ giọt,Bảo vệ cây khỏi thối rễ
Rau màu,Trời nhiều mây,Che phủ rơm/gỗ mục,Giúp cây tránh rụng hoa
Ngô,Nhiệt độ thấp < 15°C,Tăng cường thoát nước,Hạn chế ảnh hưởng của sốc nhiệt
Đậu phụng,Trời âm u,Đào mương xung quanh ruộng,Giúp cây tránh cháy lá
Đậu phụng,Độ ẩm thấp,Bắt sâu thủ công,Giúp cây tránh nảy mầm kém
Cà chua,Mưa lớn,Tăng cường thoát nước,Giảm nguy cơ sốc nhiệt
Xoài,Nắng nhẹ sau mưa,Tưới nước định kỳ,Tăng khả năng chống chịu với thối rễ
Dưa leo,Trời lạnh buổi sáng,Trì hoãn gieo trồng,Tăng khả năng chống chịu với thối rễ
Ngô,Có áp thấp nhiệt đới,Phun thuốc phòng bệnh,Giúp cây tránh thối rễ
Cà tím,Độ ẩm không khí cao,Tưới nhỏ giọt,Giảm nguy cơ đạo ôn
Bắp cải,Gió mạnh,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của sốc nhiệt
Cải bẹ,Sương mù dày,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với suy kiệt
Sắn,Nhiệt độ thấp < 15°C,Dừng bón phân đạm,Bảo vệ cây khỏi thiếu nước
Rau màu,Nắng nhẹ sau mưa,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi thối rễ
Thanh long,Sương mù dày,Tăng cường thoát nước,Giúp cây tránh vàng lá
Ngô,Có áp thấp nhiệt đới,Bón phân hữu cơ,Hạn chế ảnh hưởng của thối rễ
Cải bẹ,Mưa rào nhẹ,Tưới nước định kỳ,Hạn chế ảnh hưởng của suy kiệt
Sắn,Nhiệt độ thấp < 15°C,Bón phân hữu cơ,Hạn chế ảnh hưởng của ngập úng
Thanh long,Nắng gắt,Bắt sâu thủ công,Bảo vệ cây khỏi đạo ôn
Mía,Trời lạnh buổi sáng,Trì hoãn gieo trồng,Giúp cây tránh sâu xanh
Ớt,Trời nhiều mây,Trì hoãn gieo trồng,Giúp cây tránh bạc lá
Thanh long,Mưa rào nhẹ,Phun chế phẩm sinh học,Giảm nguy cơ đạo ôn
Xoài,Nhiệt độ cao > 35°C,Tăng cường thoát nước,Giảm nguy cơ suy kiệt
Mía,Nhiệt độ cao > 35°C,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của bạc lá
Lúa,Gió mạnh,Bón vôi cải tạo đất,Giảm nguy cơ rụng hoa
Xoài,Nhiều ngày nắng,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của rụng hoa
Cải bẹ,Nắng nhẹ sau mưa,Bón phân hữu cơ,Bảo vệ cây khỏi sốc nhiệt
Bắp cải,Mưa lớn,Trì hoãn gieo trồng,Bảo vệ cây khỏi suy kiệt
Cà tím,Nhiều ngày nắng,Tỉa thưa cây con,Tăng khả năng chống chịu với ngập úng
Dưa hấu,Độ ẩm không khí cao,Tưới nước định kỳ,Bảo vệ cây khỏi sâu xanh
Cải bẹ,Mưa lớn,Bón phân hữu cơ,Giảm nguy cơ rụng hoa
Dưa leo,Nhiệt độ cao > 35°C,Bón vôi cải tạo đất,Giúp cây tránh đạo ôn
Cải bẹ,Gió mạnh,Che chắn bằng lưới,Giúp cây tránh ngập úng
Lúa,Trời âm u,Trì hoãn gieo trồng,Giúp cây tránh nảy mầm kém
Lúa,Sương mù dày,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh đạo ôn
Mía,Nhiệt độ thấp < 15°C,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của đạo ôn
Rau màu,Có áp thấp nhiệt đới,Theo dõi sát thời tiết,Bảo vệ cây khỏi bạc lá
Bắp cải,Nắng nhẹ sau mưa,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của suy kiệt
Lúa,Độ ẩm thấp,Bón phân hữu cơ,Hạn chế ảnh hưởng của đạo ôn
Dưa leo,Nhiều ngày nắng,Trì hoãn gieo trồng,Tăng khả năng chống chịu với nấm bệnh
Ngô,Có áp thấp nhiệt đới,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của héo rũ
Bắp cải,Nhiệt độ dao động mạnh trong ngày,Bắt sâu thủ công,Bảo vệ cây khỏi sâu xanh
Mía,Nắng gắt,Bón vôi cải tạo đất,Tăng khả năng chống chịu với cháy lá
Cà chua,Trời âm u,Tăng cường thoát nước,Giúp cây tránh nảy mầm kém
Cải bẹ,Trời lạnh buổi sáng,Tưới nước định kỳ,Bảo vệ cây khỏi sâu xanh
Rau màu,Sương mù dày,Tăng cường thoát nước,Giúp cây tránh rụng hoa
Bắp cải,Sương mù dày,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của sâu xanh
Mía,Nhiệt độ dao động mạnh trong ngày,Che chắn bằng lưới,Tăng khả năng chống chịu với ngập úng
Xoài,Mưa rào nhẹ,Bắt sâu thủ công,Giảm nguy cơ héo rũ
Sắn,Có áp thấp nhiệt đới,Đào mương xung quanh ruộng,Giảm nguy cơ đạo ôn
Sắn,Trời âm u,Đào mương xung quanh ruộng,Giúp cây tránh vàng lá
Bắp cải,Có áp thấp nhiệt đới,Bắt sâu thủ công,Giảm nguy cơ suy kiệt
Cà tím,Gió mạnh,Trì hoãn gieo trồng,Giúp cây tránh thối rễ
Xoài,Trời nhiều mây,Đào mương xung quanh ruộng,Giảm nguy cơ cháy lá
Mía,Mưa rào nhẹ,Tưới nhỏ giọt,Giúp cây tránh đạo ôn
Xoài,Trời lạnh buổi sáng,Che chắn bằng lưới,Bảo vệ cây khỏi ngập úng
Ngô,Có áp thấp nhiệt đới,Tăng cường thoát nước,Tăng khả năng chống chịu với nấm bệnh
Dưa leo,Độ ẩm không khí cao,Tưới nhỏ giọt,Bảo vệ cây khỏi nảy mầm kém
Lúa,Nhiều ngày nắng,Phun chế phẩm sinh học,Tăng khả năng chống chịu với héo rũ
Dưa hấu,Trời lạnh buổi sáng,Dừng bón phân đạm,Giảm nguy cơ nảy mầm kém
Mía,Trời lạnh buổi sáng,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của thối rễ
Cải bẹ,Mưa lớn,Tăng cường thoát nước,Bảo vệ cây khỏi ngập úng
Ớt,Trời lạnh buổi sáng,Trì hoãn gieo trồng,Bảo vệ cây khỏi đạo ôn
Sắn,Độ ẩm thấp,Theo dõi sát thời tiết,Tăng khả năng chống chịu với nảy mầm kém
Dưa leo,Nhiệt độ dao động mạnh trong ngày,Tưới nước định kỳ,Giúp cây tránh suy kiệt
Ngô,Độ ẩm thấp,Bón phân hữu cơ,Giúp cây tránh rụng hoa
Mía,Mưa rào nhẹ,Che phủ rơm/gỗ mục,Giảm nguy cơ héo rũ
Dưa leo,Nhiệt độ cao > 35°C,Bắt sâu thủ công,Hạn chế ảnh hưởng của suy kiệt
Sắn,Nhiều ngày nắng,Che phủ rơm/gỗ mục,Giúp cây tránh cháy lá
Mía,Nhiệt độ thấp < 15°C,Tưới nhỏ giọt,Giúp cây tránh rụng hoa
Sắn,Có áp thấp nhiệt đới,Trì hoãn gieo trồng,Giúp cây tránh thối rễ
Dưa leo,Nhiều ngày nắng,Bón phân hữu cơ,Tăng khả năng chống chịu với suy kiệt
Dưa leo,Nhiều ngày nắng,Che chắn bằng lưới,Giúp cây tránh bạc lá
Chuối,Trời nhiều mây,Tưới nước định kỳ,Hạn chế ảnh hưởng của thiếu nước
Xoài,Nhiệt độ cao > 35°C,Bắt sâu thủ công,Giảm nguy cơ ngập úng
Dưa leo,Nắng nhẹ sau mưa,Che chắn bằng lưới,Tăng khả năng chống chịu với rụng hoa
Rau màu,Mưa lớn,Bón phân hữu cơ,Bảo vệ cây khỏi thiếu nước
Bắp cải,Độ ẩm không khí cao,Bắt sâu thủ công,Giúp cây tránh nảy mầm kém
Sắn,Nhiệt độ thấp < 15°C,Che chắn bằng lưới,Giúp cây tránh nấm bệnh
Dưa leo,Trời lạnh buổi sáng,Tưới nước định kỳ,Bảo vệ cây khỏi sâu xanh
Cải bẹ,Mưa lớn,Che chắn bằng lưới,Tăng khả năng chống chịu với suy kiệt
Đậu phụng,Trời âm u,Theo dõi sát thời tiết,Tăng khả năng chống chịu với vàng lá
Thanh long,Trời lạnh buổi sáng,Phun chế phẩm sinh học,Giúp cây tránh nấm bệnh
Chuối,Mưa lớn,Tăng cường thoát nước,Giúp cây tránh ngập úng
Mía,Trời âm u,Phun thuốc phòng bệnh,Bảo vệ cây khỏi suy kiệt
Lúa,Nhiều ngày nắng,Tưới nước định kỳ,Giúp cây tránh héo rũ
Sắn,Gió mạnh,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của rụng hoa
Cải bẹ,Trời nhiều mây,Phun chế phẩm sinh học,Tăng khả năng chống chịu với đạo ôn
Dưa hấu,Trời lạnh buổi sáng,Bón phân hữu cơ,Giảm nguy cơ ngập úng
Dưa hấu,Có áp thấp nhiệt đới,Tăng cường thoát nước,Giúp cây tránh rụng hoa
Xoài,Nhiều ngày nắng,Tưới nước định kỳ,Giúp cây tránh sốc nhiệt
Lúa,Mưa rào nhẹ,Che phủ rơm/gỗ mục,Giảm nguy cơ sốc nhiệt
Dưa leo,Nhiệt độ cao > 35°C,Che chắn bằng lưới,Hạn chế ảnh hưởng của sốc nhiệt
Mía,Gió mạnh,Tưới nhỏ giọt,Tăng khả năng chống chịu với ngập úng
Đậu phụng,Mưa lớn,Tăng cường thoát nước,Giúp cây tránh nảy mầm kém
Dưa hấu,Sương mù dày,Trì hoãn gieo trồng,Tăng khả năng chống chịu với bạc lá
Ngô,Trời lạnh buổi sáng,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ suy kiệt
Xoài,Nắng nhẹ sau mưa,Theo dõi sát thời tiết,Bảo vệ cây khỏi thối rễ
Cà tím,Nhiệt độ thấp < 15°C,Che phủ rơm/gỗ mục,Giúp cây tránh ngập úng
Dưa leo,Có áp thấp nhiệt đới,Đào mương xung quanh ruộng,Giúp cây tránh thối rễ
Thanh long,Nhiệt độ cao > 35°C,Theo dõi sát thời tiết,Giúp cây tránh nấm bệnh
Bắp cải,Nhiệt độ dao động mạnh trong ngày,Che chắn bằng lưới,Hạn chế ảnh hưởng của sốc nhiệt
Mía,Trời lạnh buổi sáng,Trì hoãn gieo trồng,Tăng khả năng chống chịu với thiếu nước
Dưa leo,Nắng nhẹ sau mưa,Che chắn bằng lưới,Tăng khả năng chống chịu với ngập úng
Chuối,Nắng gắt,Bón phân hữu cơ,Hạn chế ảnh hưởng của héo rũ
Cải bẹ,Nắng gắt,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của bạc lá
Cà tím,Trời âm u,Theo dõi sát thời tiết,Bảo vệ cây khỏi suy kiệt
Xoài,Mưa lớn,Che chắn bằng lưới,Giúp cây tránh bạc lá
Chuối,Sương mù dày,Phun chế phẩm sinh học,Tăng khả năng chống chịu với ngập úng
Đậu phụng,Mưa rào nhẹ,Trì hoãn gieo trồng,Tăng khả năng chống chịu với thiếu nước
Cà chua,Mưa lớn,Tưới nước định kỳ,Hạn chế ảnh hưởng của ngập úng
Mía,Nhiệt độ thấp < 15°C,Đào mương xung quanh ruộng,Bảo vệ cây khỏi sốc nhiệt
Dưa hấu,Nhiều ngày nắng,Phun thuốc phòng bệnh,Bảo vệ cây khỏi cháy lá
Thanh long,Nắng gắt,Che phủ rơm/gỗ mục,Giúp cây tránh thối rễ
Rau màu,Trời nhiều mây,Phun thuốc phòng bệnh,Bảo vệ cây khỏi rụng hoa
Cà chua,Trời âm u,Tỉa thưa cây con,Bảo vệ cây khỏi rụng hoa
Ngô,Nhiều ngày nắng,Bón vôi cải tạo đất,Tăng khả năng chống chịu với sâu xanh
Cà chua,Trời lạnh buổi sáng,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của rụng hoa
Cà chua,Độ ẩm thấp,Tưới nhỏ giọt,Tăng khả năng chống chịu với héo rũ
Lúa,Độ ẩm không khí cao,Che chắn bằng lưới,Tăng khả năng chống chịu với cháy lá
Cà chua,Gió mạnh,Trì hoãn gieo trồng,Giúp cây tránh nảy mầm kém
Dưa hấu,Trời nhiều mây,Dừng bón phân đạm,Giúp cây tránh sốc nhiệt
Cải bẹ,Nắng gắt,Trì hoãn gieo trồng,Giúp cây tránh vàng lá
Cải bẹ,Nhiệt độ cao > 35°C,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của nảy mầm kém
Bắp cải,Sương mù dày,Phun thuốc phòng bệnh,Giúp cây tránh rụng hoa
Cải bẹ,Gió mạnh,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của rụng hoa
